plasmid,bucket,area,mean,median
pDIMMER_NT-EGFP_TLP1c_no-miR,negative,79.454,325.202,324
pDIMMER_NT-EGFP_TLP1c_no-miR,negative,79.454,333.435,332
pDIMMER_NT-EGFP_TLP1c_no-miR,negative,79.454,371.313,370
pDIMMER_NT-EGFP_TLP1c_no-miR,negative,79.454,417.696,416
pDIMMER_NT-EGFP_TLP1c_no-miR,negative,79.454,368.808,366
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,80.55,1882.202,1884
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,62.222,2721.962,2758
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,56.621,3235.563,3231
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,60.355,2789.998,2852
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,48.467,2098.313,2058
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,64.28,4333.347,4272
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,75.749,1421.037,1419
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,71.9,1538.901,1543
pDIMMER_NT-EGFP_TLP1c_no-miR,negative,92.095,480.614,478
pDIMMER_NT-EGFP_TLP1c_no-miR,negative,84.474,372.453,370
pDIMMER_NT-EGFP_TLP1c_no-miR,negative,78.721,431.949,430
pDIMMER_NT-EGFP_TLP1c_no-miR,negative,74.796,501.432,499
pDIMMER_NT-EGFP_TLP1c_no-miR,negative,80.131,519.904,517
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,66.947,1486.964,1502
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,121.815,698.644,701
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,76.206,978.472,987
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,50.753,1446.575,1449
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,57.574,5677.525,5693
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,62.108,7225.379,7249
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,104.136,8147.036,8295
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,46.333,5417.192,5429
pDIMMER_NT-EGFP_TLP1c_no-miR,too_bright,68.624,18746.695,19296
pDIMMER_NT-EGFP_TLP1c_no-miR,negative,117.357,417.031,415
pDIMMER_NT-EGFP_TLP1c_no-miR,negative,85.808,393.478,392
pDIMMER_NT-EGFP_TLP1c_no-miR,negative,96.363,356.117,355
pDIMMER_NT-EGFP_TLP1c_no-miR,negative,108.289,359.475,358
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,115.833,2111.224,2101
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,127.912,2309.088,2304
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,51.287,3356.586,3383
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,77.921,4113.779,4126
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,99.106,5072.489,5128
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,64.204,5458.307,5518
pDIMMER_NT-EGFP_TLP1c_no-miR,spots,76.206,7848.761,7771
pPGK_NT-EGFP_TLP1c,negative,114.462,411.273,410
pPGK_NT-EGFP_TLP1c,negative,113.09,633.464,617
pPGK_NT-EGFP_TLP1c,negative,90.495,553.158,554
pPGK_NT-EGFP_TLP1c,negative,96.744,1017.066,993
pPGK_NT-EGFP_TLP1c,negative,102.459,821.64,807
pPGK_NT-EGFP_TLP1c,spots,104.25,6175.831,6185
pPGK_NT-EGFP_TLP1c,spots,69.233,5021.031,5115
pPGK_NT-EGFP_TLP1c,spots,102.04,4314.339,4329
pPGK_NT-EGFP_TLP1c,spots,82.874,1892.987,1888
pPGK_NT-EGFP_TLP1c,spots,107.07,2398.781,2415
pPGK_NT-EGFP_TLP1c,too_bright,102.192,19789.92,19972
pPGK_NT-EGFP_TLP1c,too_bright,77.235,47479.778,47944
pPGK_NT-EGFP_TLP1c,too_bright,50.182,65532.574,65535
pPGK_NT-EGFP_TLP1c,too_bright,42.752,64058.657,65535
pPGK_NT-EGFP_TLP1c,too_bright,71.977,40807.869,41129
pPGK_NT-EGFP_TLP1c,too_bright,67.671,35956.869,36231
pPGK_NT-EGFP_TLP1c,too_bright,76.854,17616.247,17741
pPGK_NT-EGFP_TLP1c,too_bright,96.439,14349.957,14377
pPGK_NT-EGFP_TLP1c,negative,110.499,585.031,586
pPGK_NT-EGFP_TLP1c,negative,83.941,560.288,559
pPGK_NT-EGFP_TLP1c,negative,73.31,432.254,431
pPGK_NT-EGFP_TLP1c,negative,130.427,639.385,638
pPGK_NT-EGFP_TLP1c,negative,110.575,436.989,430
pPGK_NT-EGFP_TLP1c,negative,107.832,582.796,583
pPGK_NT-EGFP_TLP1c,spots,65.385,876.787,879
pPGK_NT-EGFP_TLP1c,spots,67.252,628.744,627
pPGK_NT-EGFP_TLP1c,spots,80.855,6605.28,6594
pPGK_NT-EGFP_TLP1c,spots,42.904,5822.057,5861
pPGK_NT-EGFP_TLP1c,spots,39.856,894.543,895
pPGK_NT-EGFP_TLP1c,too_bright,79.064,43575.249,43684
pPGK_NT-EGFP_TLP1c,too_bright,79.178,42003.836,42375
pPGK_NT-EGFP_TLP1c,too_bright,61.079,18792.935,19505
pPGK_NT-EGFP_TLP1c,too_bright,98.801,18860.065,19132
pPGK_NT-EGFP_TLP1c,too_bright,101.278,22623.517,22700
pPGK_NT-EGFP_TLP1c,too_bright,66.337,17450.879,17255
pDIMMER_NT-EGFP_TLP1c_miR-Lx4_miR-L,negative,77.883,315.486,314
pDIMMER_NT-EGFP_TLP1c_miR-Lx4_miR-L,negative,77.883,328.643,327
pDIMMER_NT-EGFP_TLP1c_miR-Lx4_miR-L,negative,77.883,323.35,322
