plasmid,promoter,fusion,probe,NLS,polyA
NT-GFP_Cen1-ZF1a,pCMV,NT-GFP,Cen1-ZF1a,SV40,bGH
NT-GFP_Cen1-ZF1b,pCMV,NT-GFP,Cen1-ZF1b,SV40,bGH
NT-GFP_Cen1-ZF1c,pCMV,NT-GFP,Cen1-ZF1c,SV40,bGH
NT-GFP_Cen1-ZF2a,pCMV,NT-GFP,Cen1-ZF2a,SV40,bGH
NT-GFP_Cen1-ZF2b,pCMV,NT-GFP,Cen1-ZF2b,SV40,bGH
NT-GFP_Cen1-ZF2c,pCMV,NT-GFP,Cen1-ZF2c,SV40,bGH
NT-GFP_Cen2-ZF1a,pCMV,NT-GFP,Cen2-ZF1a,SV40,bGH
NT-GFP_Cen2-ZF1b,pCMV,NT-GFP,Cen2-ZF1b,SV40,bGH
NT-GFP_Cen2-ZF1c,pCMV,NT-GFP,Cen2-ZF1c,SV40,bGH
NT-GFP_Cen2-ZF2a,pCMV,NT-GFP,Cen2-ZF2a,SV40,bGH
NT-GFP_Cen2-ZF2b,pCMV,NT-GFP,Cen2-ZF2b,SV40,bGH
NT-GFP_Cen2-ZF2c,pCMV,NT-GFP,Cen2-ZF2c,SV40,bGH
NT-GFP_Cen3-ZF1a,pCMV,NT-GFP,Cen3-ZF1a,SV40,bGH
NT-GFP_Cen3-ZF1b,pCMV,NT-GFP,Cen3-ZF1b,SV40,bGH
NT-GFP_Cen3-ZF1c,pCMV,NT-GFP,Cen3-ZF1c,SV40,bGH
NT-GFP_Cen3-ZF2a,pCMV,NT-GFP,Cen3-ZF2a,SV40,bGH
NT-GFP_Cen3-ZF2b,pCMV,NT-GFP,Cen3-ZF2b,SV40,bGH
NT-GFP_Cen3-ZF2c,pCMV,NT-GFP,Cen3-ZF2c,SV40,bGH
NT-GFP_Cen3-ZF3a,pCMV,NT-GFP,Cen3-ZF3a,SV40,bGH
NT-GFP_Cen3-ZF3b,pCMV,NT-GFP,Cen3-ZF3b,SV40,bGH
NT-GFP_Cen3-ZF3c,pCMV,NT-GFP,Cen3-ZF3c,SV40,bGH
NT-GFP_Cen3-ZF4a,pCMV,NT-GFP,Cen3-ZF4a,SV40,bGH
NT-GFP_Cen3-ZF4b,pCMV,NT-GFP,Cen3-ZF4b,SV40,bGH
NT-GFP_Cen3-ZF4c,pCMV,NT-GFP,Cen3-ZF4c,SV40,bGH
NT-GFP_Cen4-ZF1a,pCMV,NT-GFP,Cen4-ZF1a,SV40,bGH
NT-GFP_Cen4-ZF1b,pCMV,NT-GFP,Cen4-ZF1b,SV40,bGH
NT-GFP_Cen4-ZF1c,pCMV,NT-GFP,Cen4-ZF1c,SV40,bGH
NT-GFP_Cen4-ZF2a,pCMV,NT-GFP,Cen4-ZF2a,SV40,bGH
NT-GFP_Cen4-ZF2b,pCMV,NT-GFP,Cen4-ZF2b,SV40,bGH
NT-GFP_Cen4-ZF2c,pCMV,NT-GFP,Cen4-ZF2c,SV40,bGH
NT-GFP_Cen4-ZF3a,pCMV,NT-GFP,Cen4-ZF3a,SV40,bGH
NT-GFP_Cen4-ZF3b,pCMV,NT-GFP,Cen4-ZF3b,SV40,bGH
NT-GFP_Cen4-ZF3c,pCMV,NT-GFP,Cen4-ZF3c,SV40,bGH
NT-GFP_Cen4-ZF4a,pCMV,NT-GFP,Cen4-ZF4a,SV40,bGH
NT-GFP_Cen4-ZF4b,pCMV,NT-GFP,Cen4-ZF4b,SV40,bGH
NT-GFP_Cen4-ZF4c,pCMV,NT-GFP,Cen4-ZF4c,SV40,bGH
NT-GFP_Cen5-ZF1a,pCMV,NT-GFP,Cen5-ZF1a,SV40,bGH
NT-GFP_Cen5-ZF1b,pCMV,NT-GFP,Cen5-ZF1b,SV40,bGH
NT-GFP_Cen5-ZF1c,pCMV,NT-GFP,Cen5-ZF1c,SV40,bGH
NT-GFP_Cen5-ZF2a,pCMV,NT-GFP,Cen5-ZF2a,SV40,bGH
NT-GFP_Cen5-ZF2b,pCMV,NT-GFP,Cen5-ZF2b,SV40,bGH
NT-GFP_Cen5-ZF2c,pCMV,NT-GFP,Cen5-ZF2c,SV40,bGH
NT-GFP_Cen6-ZF1a,pCMV,NT-GFP,Cen6-ZF1a,SV40,bGH
NT-GFP_Cen6-ZF1b,pCMV,NT-GFP,Cen6-ZF1b,SV40,bGH
NT-GFP_Cen6-ZF1c,pCMV,NT-GFP,Cen6-ZF1c,SV40,bGH
NT-GFP_Cen6-ZF2a,pCMV,NT-GFP,Cen6-ZF2a,SV40,bGH
NT-GFP_Cen6-ZF2b,pCMV,NT-GFP,Cen6-ZF2b,SV40,bGH
NT-GFP_Cen6-ZF2c,pCMV,NT-GFP,Cen6-ZF2c,SV40,bGH
NT-GFP_Cen7-ZF1a,pCMV,NT-GFP,Cen7-ZF1a,SV40,bGH
NT-GFP_Cen7-ZF1b,pCMV,NT-GFP,Cen7-ZF1b,SV40,bGH
NT-GFP_Cen7-ZF1c,pCMV,NT-GFP,Cen7-ZF1c,SV40,bGH
NT-GFP_Cen7-ZF1d,pCMV,NT-GFP,Cen7-ZF1d,SV40,bGH
NT-GFP_Cen7-ZF2a,pCMV,NT-GFP,Cen7-ZF2a,SV40,bGH
NT-GFP_Cen7-ZF2b,pCMV,NT-GFP,Cen7-ZF2b,SV40,bGH
NT-GFP_Cen7-ZF2c,pCMV,NT-GFP,Cen7-ZF2c,SV40,bGH
NT-GFP_Cen7-ZF2d,pCMV,NT-GFP,Cen7-ZF2d,SV40,bGH
NT-GFP_Cen7-ZF1e,pCMV,NT-GFP,Cen7-ZF1e,SV40,bGH
NT-GFP_Cen7-ZF1f,pCMV,NT-GFP,Cen7-ZF1f,SV40,bGH
NT-GFP_Cen7-ZF1g,pCMV,NT-GFP,Cen7-ZF1g,SV40,bGH
NT-GFP_Cen7-ZF1h,pCMV,NT-GFP,Cen7-ZF1h,SV40,bGH
NT-GFP_Cen7-ZF2e,pCMV,NT-GFP,Cen7-ZF2e,SV40,bGH
NT-GFP_Cen7-ZF2f,pCMV,NT-GFP,Cen7-ZF2f,SV40,bGH
NT-GFP_Cen7-ZF2g,pCMV,NT-GFP,Cen7-ZF2g,SV40,bGH
NT-GFP_Cen7-ZF2h,pCMV,NT-GFP,Cen7-ZF2h,SV40,bGH
NT-GFP_Cen8-ZF1a,pCMV,NT-GFP,Cen8-ZF1a,SV40,bGH
NT-GFP_Cen8-ZF1b,pCMV,NT-GFP,Cen8-ZF1b,SV40,bGH
NT-GFP_Cen8-ZF1c,pCMV,NT-GFP,Cen8-ZF1c,SV40,bGH
NT-GFP_Cen8-ZF2a,pCMV,NT-GFP,Cen8-ZF2a,SV40,bGH
NT-GFP_Cen8-ZF2b,pCMV,NT-GFP,Cen8-ZF2b,SV40,bGH
NT-GFP_Cen8-ZF2c,pCMV,NT-GFP,Cen8-ZF2c,SV40,bGH
NT-GFP_Cen8-ZF3a,pCMV,NT-GFP,Cen8-ZF3a,SV40,bGH
NT-GFP_Cen8-ZF3b,pCMV,NT-GFP,Cen8-ZF3b,SV40,bGH
NT-GFP_Cen8-ZF3c,pCMV,NT-GFP,Cen8-ZF3c,SV40,bGH
NT-GFP_Cen8-ZF4a,pCMV,NT-GFP,Cen8-ZF4a,SV40,bGH
NT-GFP_Cen8-ZF4b,pCMV,NT-GFP,Cen8-ZF4b,SV40,bGH
NT-GFP_Cen8-ZF4c,pCMV,NT-GFP,Cen8-ZF4c,SV40,bGH
NT-GFP_Cen9-ZF1a,pCMV,NT-GFP,Cen9-ZF1a,SV40,bGH
NT-GFP_Cen9-ZF1b,pCMV,NT-GFP,Cen9-ZF1b,SV40,bGH
NT-GFP_Cen9-ZF1c,pCMV,NT-GFP,Cen9-ZF1c,SV40,bGH
NT-GFP_Cen9-ZF2a,pCMV,NT-GFP,Cen9-ZF2a,SV40,bGH
NT-GFP_Cen9-ZF2b,pCMV,NT-GFP,Cen9-ZF2b,SV40,bGH
NT-GFP_Cen9-ZF2c,pCMV,NT-GFP,Cen9-ZF2c,SV40,bGH
NT-GFP_Cen10-ZF1a,pCMV,NT-GFP,Cen10-ZF1a,SV40,bGH
NT-GFP_Cen10-ZF1b,pCMV,NT-GFP,Cen10-ZF1b,SV40,bGH
NT-GFP_Cen10-ZF1c,pCMV,NT-GFP,Cen10-ZF1c,SV40,bGH
NT-GFP_Cen10-ZF2a,pCMV,NT-GFP,Cen10-ZF2a,SV40,bGH
NT-GFP_Cen10-ZF2b,pCMV,NT-GFP,Cen10-ZF2b,SV40,bGH
NT-GFP_Cen10-ZF2c,pCMV,NT-GFP,Cen10-ZF2c,SV40,bGH
NT-GFP_Cen11-ZF1a,pCMV,NT-GFP,Cen11-ZF1a,SV40,bGH
NT-GFP_Cen11-ZF1b,pCMV,NT-GFP,Cen11-ZF1b,SV40,bGH
NT-GFP_Cen11-ZF1c,pCMV,NT-GFP,Cen11-ZF1c,SV40,bGH
NT-GFP_Cen11-ZF2a,pCMV,NT-GFP,Cen11-ZF2a,SV40,bGH
NT-GFP_Cen11-ZF2b,pCMV,NT-GFP,Cen11-ZF2b,SV40,bGH
NT-GFP_Cen11-ZF2c,pCMV,NT-GFP,Cen11-ZF2c,SV40,bGH
NT-GFP_Cen12-ZF1a,pCMV,NT-GFP,Cen12-ZF1a,SV40,bGH
NT-GFP_Cen12-ZF1b,pCMV,NT-GFP,Cen12-ZF1b,SV40,bGH
NT-GFP_Cen12-ZF1c,pCMV,NT-GFP,Cen12-ZF1c,SV40,bGH
NT-GFP_Cen12-ZF2a,pCMV,NT-GFP,Cen12-ZF2a,SV40,bGH
NT-GFP_Cen12-ZF2b,pCMV,NT-GFP,Cen12-ZF2b,SV40,bGH
NT-GFP_Cen12-ZF2c,pCMV,NT-GFP,Cen12-ZF2c,SV40,bGH
NT-GFP_Cen13-ZF1a,pCMV,NT-GFP,Cen13-ZF1a,SV40,bGH
NT-GFP_Cen13-ZF1b,pCMV,NT-GFP,Cen13-ZF1b,SV40,bGH
NT-GFP_Cen13-ZF1c,pCMV,NT-GFP,Cen13-ZF1c,SV40,bGH
NT-GFP_Cen13-ZF2a,pCMV,NT-GFP,Cen13-ZF2a,SV40,bGH
NT-GFP_Cen13-ZF2b,pCMV,NT-GFP,Cen13-ZF2b,SV40,bGH
NT-GFP_Cen13-ZF2c,pCMV,NT-GFP,Cen13-ZF2c,SV40,bGH
NT-GFP_Cen14-ZF1a,pCMV,NT-GFP,Cen14-ZF1a,SV40,bGH
NT-GFP_Cen14-ZF1b,pCMV,NT-GFP,Cen14-ZF1b,SV40,bGH
NT-GFP_Cen14-ZF1c,pCMV,NT-GFP,Cen14-ZF1c,SV40,bGH
NT-GFP_Cen15-ZF1a,pCMV,NT-GFP,Cen15-ZF1a,SV40,bGH
NT-GFP_Cen15-ZF1b,pCMV,NT-GFP,Cen15-ZF1b,SV40,bGH
NT-GFP_Cen15-ZF1c,pCMV,NT-GFP,Cen15-ZF1c,SV40,bGH
NT-GFP_Cen15-ZF2a,pCMV,NT-GFP,Cen15-ZF2a,SV40,bGH
NT-GFP_Cen15-ZF2b,pCMV,NT-GFP,Cen15-ZF2b,SV40,bGH
NT-GFP_Cen15-ZF2c,pCMV,NT-GFP,Cen15-ZF2c,SV40,bGH
NT-GFP_Cen16-ZF1a,pCMV,NT-GFP,Cen16-ZF1a,SV40,bGH
NT-GFP_Cen16-ZF1b,pCMV,NT-GFP,Cen16-ZF1b,SV40,bGH
NT-GFP_Cen16-ZF1c,pCMV,NT-GFP,Cen16-ZF1c,SV40,bGH
NT-GFP_Cen16-ZF2a,pCMV,NT-GFP,Cen16-ZF2a,SV40,bGH
NT-GFP_Cen16-ZF2b,pCMV,NT-GFP,Cen16-ZF2b,SV40,bGH
NT-GFP_Cen16-ZF2c,pCMV,NT-GFP,Cen16-ZF2c,SV40,bGH
NT-GFP_Cen17-ZF1a,pCMV,NT-GFP,Cen17-ZF1a,SV40,bGH
NT-GFP_Cen17-ZF1b,pCMV,NT-GFP,Cen17-ZF1b,SV40,bGH
NT-GFP_Cen17-ZF1c,pCMV,NT-GFP,Cen17-ZF1c,SV40,bGH
NT-GFP_Cen17-ZF2a,pCMV,NT-GFP,Cen17-ZF2a,SV40,bGH
NT-GFP_Cen17-ZF2b,pCMV,NT-GFP,Cen17-ZF2b,SV40,bGH
NT-GFP_Cen17-ZF2c,pCMV,NT-GFP,Cen17-ZF2c,SV40,bGH
NT-GFP_Cen18-ZF1a,pCMV,NT-GFP,Cen18-ZF1a,SV40,bGH
NT-GFP_Cen18-ZF1b,pCMV,NT-GFP,Cen18-ZF1b,SV40,bGH
NT-GFP_Cen18-ZF1c,pCMV,NT-GFP,Cen18-ZF1c,SV40,bGH
NT-GFP_Cen18-ZF1d,pCMV,NT-GFP,Cen18-ZF1d,SV40,bGH
NT-GFP_Cen18-ZF2a,pCMV,NT-GFP,Cen18-ZF2a,SV40,bGH
NT-GFP_Cen18-ZF2b,pCMV,NT-GFP,Cen18-ZF2b,SV40,bGH
NT-GFP_Cen18-ZF2c,pCMV,NT-GFP,Cen18-ZF2c,SV40,bGH
NT-GFP_Cen18-ZF2d,pCMV,NT-GFP,Cen18-ZF2d,SV40,bGH
NT-GFP_Cen18-ZF1e,pCMV,NT-GFP,Cen18-ZF1e,SV40,bGH
NT-GFP_Cen18-ZF1f,pCMV,NT-GFP,Cen18-ZF1f,SV40,bGH
NT-GFP_Cen18-ZF1g,pCMV,NT-GFP,Cen18-ZF1g,SV40,bGH
NT-GFP_Cen18-ZF1h,pCMV,NT-GFP,Cen18-ZF1h,SV40,bGH
NT-GFP_Cen18-ZF2e,pCMV,NT-GFP,Cen18-ZF2e,SV40,bGH
NT-GFP_Cen18-ZF2f,pCMV,NT-GFP,Cen18-ZF2f,SV40,bGH
NT-GFP_Cen18-ZF2g,pCMV,NT-GFP,Cen18-ZF2g,SV40,bGH
NT-GFP_Cen18-ZF2h,pCMV,NT-GFP,Cen18-ZF2h,SV40,bGH
NT-GFP_Cen19-ZF1a,pCMV,NT-GFP,Cen19-ZF1a,SV40,bGH
NT-GFP_Cen19-ZF1b,pCMV,NT-GFP,Cen19-ZF1b,SV40,bGH
NT-GFP_Cen19-ZF1c,pCMV,NT-GFP,Cen19-ZF1c,SV40,bGH
NT-GFP_Cen20-ZF1a,pCMV,NT-GFP,Cen20-ZF1a,SV40,bGH
NT-GFP_Cen20-ZF1b,pCMV,NT-GFP,Cen20-ZF1b,SV40,bGH
NT-GFP_Cen20-ZF1c,pCMV,NT-GFP,Cen20-ZF1c,SV40,bGH
NT-GFP_Cen20-ZF2a,pCMV,NT-GFP,Cen20-ZF2a,SV40,bGH
NT-GFP_Cen20-ZF2b,pCMV,NT-GFP,Cen20-ZF2b,SV40,bGH
NT-GFP_Cen20-ZF2c,pCMV,NT-GFP,Cen20-ZF2c,SV40,bGH
NT-GFP_Cen21-ZF1a,pCMV,NT-GFP,Cen21-ZF1a,SV40,bGH
NT-GFP_Cen21-ZF1b,pCMV,NT-GFP,Cen21-ZF1b,SV40,bGH
NT-GFP_Cen21-ZF1c,pCMV,NT-GFP,Cen21-ZF1c,SV40,bGH
NT-GFP_Cen21-ZF2a,pCMV,NT-GFP,Cen21-ZF2a,SV40,bGH
NT-GFP_Cen21-ZF2b,pCMV,NT-GFP,Cen21-ZF2b,SV40,bGH
NT-GFP_Cen21-ZF2c,pCMV,NT-GFP,Cen21-ZF2c,SV40,bGH
NT-GFP_Cen22-ZF1a,pCMV,NT-GFP,Cen22-ZF1a,SV40,bGH
NT-GFP_Cen22-ZF1b,pCMV,NT-GFP,Cen22-ZF1b,SV40,bGH
NT-GFP_Cen22-ZF1c,pCMV,NT-GFP,Cen22-ZF1c,SV40,bGH
NT-GFP_Cen22-ZF2a,pCMV,NT-GFP,Cen22-ZF2a,SV40,bGH
NT-GFP_Cen22-ZF2b,pCMV,NT-GFP,Cen22-ZF2b,SV40,bGH
NT-GFP_Cen22-ZF2c,pCMV,NT-GFP,Cen22-ZF2c,SV40,bGH
NT-GFP_CenX-ZF1a,pCMV,NT-GFP,CenX-ZF1a,SV40,bGH
NT-GFP_CenX-ZF1b,pCMV,NT-GFP,CenX-ZF1b,SV40,bGH
NT-GFP_CenX-ZF1c,pCMV,NT-GFP,CenX-ZF1c,SV40,bGH
NT-GFP_CenX-ZF1d,pCMV,NT-GFP,CenX-ZF1d,SV40,bGH
NT-GFP_CenX-ZF2a,pCMV,NT-GFP,CenX-ZF2a,SV40,bGH
NT-GFP_CenX-ZF2b,pCMV,NT-GFP,CenX-ZF2b,SV40,bGH
NT-GFP_CenX-ZF2c,pCMV,NT-GFP,CenX-ZF2c,SV40,bGH
NT-GFP_CenX-ZF2d,pCMV,NT-GFP,CenX-ZF2d,SV40,bGH
NT-GFP_CenX-ZF1e,pCMV,NT-GFP,CenX-ZF1e,SV40,bGH
NT-GFP_CenX-ZF1f,pCMV,NT-GFP,CenX-ZF1f,SV40,bGH
NT-GFP_CenX-ZF1g,pCMV,NT-GFP,CenX-ZF1g,SV40,bGH
NT-GFP_CenX-ZF1h,pCMV,NT-GFP,CenX-ZF1h,SV40,bGH
NT-GFP_CenX-ZF2e,pCMV,NT-GFP,CenX-ZF2e,SV40,bGH
NT-GFP_CenX-ZF2f,pCMV,NT-GFP,CenX-ZF2f,SV40,bGH
NT-GFP_CenX-ZF2g,pCMV,NT-GFP,CenX-ZF2g,SV40,bGH
NT-GFP_CenX-ZF2h,pCMV,NT-GFP,CenX-ZF2h,SV40,bGH
NT-GFP_CenY-ZF2a,pCMV,NT-GFP,CenY-ZF2a,SV40,bGH
NT-GFP_CenY-ZF2b,pCMV,NT-GFP,CenY-ZF2b,SV40,bGH
NT-GFP_CenY-ZF2c,pCMV,NT-GFP,CenY-ZF2c,SV40,bGH
NT-GFP_CenY-ZF1a,pCMV,NT-GFP,CenY-ZF1a,SV40,bGH
NT-GFP_CenY-ZF1b,pCMV,NT-GFP,CenY-ZF1b,SV40,bGH
NT-GFP_CenY-ZF3a,pCMV,NT-GFP,CenY-ZF3a,SV40,bGH
NT-GFP_CenY-ZF3b,pCMV,NT-GFP,CenY-ZF3b,SV40,bGH
NT-GFP_CenY-ZF3c,pCMV,NT-GFP,CenY-ZF3c,SV40,bGH
NT-GFP_CenY-ZF4a,pCMV,NT-GFP,CenY-ZF4a,SV40,bGH
NT-GFP_CenY-ZF4b,pCMV,NT-GFP,CenY-ZF4b,SV40,bGH
NT-GFP_CenY-ZF4c,pCMV,NT-GFP,CenY-ZF4c,SV40,bGH
NT-GFP_CenU-ZF1a,pCMV,NT-GFP,CenU-ZF1a,SV40,bGH
NT-GFP_CenU-ZF1c,pCMV,NT-GFP,CenU-ZF1c,SV40,bGH
NT-GFP_CenU-ZF1e,pCMV,NT-GFP,CenU-ZF1e,SV40,bGH
NT-GFP_CenU-ZF1g,pCMV,NT-GFP,CenU-ZF1g,SV40,bGH
NT-GFP_TLP1c,pCMV,NT-GFP,TLP1c,SV40,bGH
none,none,none,none,none,none
