plasmid,promoter,fusion,probe,NLS,polyA,cargo,fusion2,dimerization
none,none,none,none,none,none,none,none,none
pWM_Double1,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,none,NLS-mScarlet-I,ABI1-PYR1
pWM_Double1-v2,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,none,mScarlet-I,ABI1-PYR1
pWM_Double1-v3,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,none,NLS-GGSG-mScarlet-I,ABI1-PYR1
pWM_Double1-v4,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,none,NLS-GGSG-mScarlet-I,ABI1-PYR1-noMet
pWM_Double1-v5,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,none,HaloTag,ABI1-PYR1
pWM_Double1-v6,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,none,NLS-GGSG-mScarlet-I,ABI1-PYL1
pWM_Double1-v7,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,none,NLS-GGSG-mScarlet-3H,ABI1-PYR1-noMet
pWM_Double2-v5,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,AurkB,HaloTag,ABI1-PYR1
pWM_Double2-v7,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,AurkB,NLS-GGSG-mScarlet-3H,ABI1-PYR1-noMet
pWM_Double3-v5,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,Tet3-ZF,HaloTag,ABI1-PYR1
pWM_Double3-v7,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,Tet3-ZF,NLS-GGSG-mScarlet-3H,ABI1-PYR1-noMet
pWM_Double4-v5,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,Cen10-ZF2c,HaloTag,ABI1-PYR1
pWM_Double4-v7,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,Cen10-ZF2c,NLS-GGSG-mScarlet-3H,ABI1-PYR1-noMet
pWM_Double5-v5,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,Cen18-ZF1d,HaloTag,ABI1-PYR1
pWM_Double5-v7,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,Cen18-ZF1d,NLS-GGSG-mScarlet-3H,ABI1-PYR1-noMet
pWM_Double6-v5,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,KDM1A,HaloTag,ABI1-PYR1
pWM_Double6-v7,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,KDM1A,NLS-GGSG-mScarlet-3H,ABI1-PYR1-noMet
pWM_Double7-v5,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,DNMT3A,HaloTag,ABI1-PYR1
pWM_Double7-v7,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,DNMT3A,NLS-GGSG-mScarlet-3H,ABI1-PYR1-noMet
pWM_Double8-v5,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,KMT5C_full,HaloTag,ABI1-PYR1
pWM_Double8-v7,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,KMT5C_full,NLS-GGSG-mScarlet-3H,ABI1-PYR1-noMet
pWM_Double9-v5,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,KMT5C_SET,HaloTag,ABI1-PYR1
pWM_Double9-v7,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,KMT5C_SET,NLS-GGSG-mScarlet-3H,ABI1-PYR1-noMet
pWM_Double10-v5,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,RING1,HaloTag,ABI1-PYR1
pWM_Double10-v7,pEF1a-TRE,CT-mStayGold,Cen7-ZF1g,none,none,RING1,NLS-GGSG-mScarlet-3H,ABI1-PYR1-noMet
