experiment,base_name,ROI,channel,x,y,intensity,probability
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,18,2,653,1818,2381.92,0.651
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,18,2,672,1778,2601.08,0.601
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,18,2,662,1764,1812.01,0.559
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,17,2,112,1616,2624.02,0.57
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,17,2,3,1607,2887.8,0.507
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,17,2,2,1604,2795.0,0.442
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,16,2,1524,1276,3194.93,0.7
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,16,2,1496,1270,2429.54,0.622
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,16,2,1550,1214,2266.04,0.635
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,14,2,931,1104,2287.33,0.56
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,13,2,1785,1097,896.0,0.423
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,15,2,1032,1084,5366.8,0.742
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,14,2,907,1085,2629.82,0.539
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,14,2,933,1082,2274.53,0.594
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,15,2,1013,1077,5187.15,0.804
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,15,2,1052,1066,5000.05,0.729
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,13,2,1816,1056,4838.5,0.689
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,13,2,1807,1056,1179.0,0.385
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,12,2,1535,1046,2304.47,0.587
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,12,2,1513,1028,2233.98,0.627
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,12,2,1544,1021,2813.68,0.603
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,11,2,239,919,2389.99,0.631
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,11,2,170,908,1876.36,0.519
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,10,2,524,905,1932.39,0.567
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,10,2,539,894,1239.0,0.506
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,10,2,545,893,995.0,0.42
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,10,2,607,859,3450.48,0.53
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,10,2,611,858,2933.0,0.427
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,11,2,214,856,2993.16,0.593
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,9,2,1452,852,2521.77,0.52
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,9,2,1465,849,2445.2,0.592
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,10,2,606,848,4806.43,0.584
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,9,2,1430,845,2704.08,0.63
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,8,2,99,823,3887.99,0.757
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,8,2,87,817,1930.55,0.577
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,10,2,514,813,4247.61,0.626
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,9,2,1441,812,2874.56,0.611
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,9,2,1393,810,3417.55,0.646
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,10,2,550,804,4459.33,0.668
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,10,2,629,801,3391.05,0.641
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,9,2,1405,792,2643.47,0.607
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,7,2,658,742,2086.86,0.59
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,7,2,681,733,1466.16,0.507
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,7,2,673,730,1172.0,0.456
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,7,2,638,701,1693.03,0.531
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,6,2,236,517,2449.47,0.617
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,6,2,257,510,2198.35,0.646
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,6,2,277,508,1973.17,0.586
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,6,2,246,508,704.0,0.374
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,5,2,29,507,2211.65,0.648
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,6,2,285,497,639.0,0.429
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,5,2,41,482,1283.15,0.538
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,5,2,81,473,1811.55,0.594
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,3,2,1290,373,1890.51,0.589
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,4,2,981,371,1849.22,0.647
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,4,2,1023,345,1681.45,0.548
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,4,2,994,335,2102.47,0.526
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,4,2,983,333,809.3,0.483
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,4,2,1013,332,893.44,0.491
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,3,2,1360,301,1260.06,0.506
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,3,2,1373,297,1379.32,0.529
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,3,2,1426,296,1142.44,0.506
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,3,2,1388,291,1488.91,0.5
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,3,2,1354,292,963.08,0.513
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,3,2,1384,290,1380.0,0.409
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,3,2,1452,271,1535.37,0.558
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,2,2,1327,223,1629.92,0.578
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,2,2,1324,170,1978.08,0.619
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,1,2,839,150,3912.74,0.669
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,1,2,823,131,2392.54,0.606
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,136,2,1787,2024,715.91,0.504
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,133,2,1601,2021,730.27,0.498
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,136,2,1755,2013,912.49,0.558
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,133,2,1571,2000,621.26,0.504
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,131,2,1169,1983,427.94,0.486
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,132,2,1922,1974,533.41,0.515
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,131,2,1157,1974,643.54,0.517
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,129,2,1818,1973,888.27,0.572
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,131,2,1220,1958,591.55,0.504
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,131,2,1238,1948,744.71,0.502
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,132,2,1939,1936,788.43,0.569
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,125,2,907,1932,510.63,0.507
