experiment,image_index,channel,avg_intensity,median_intensity,min_intensity,area,base_name
02132025_Cen-ZF_select_HCT116_session2,0,0,4368.616625303662,4087.0,1146,2476886,02132025_Cen-ZF_select_HCT116_NT-GFP_TLP1c_1_MMStack_Pos7_MIP
02132025_Cen-ZF_select_HCT116_session2,0,1,1612.4570444487779,855.0,356,2476886,02132025_Cen-ZF_select_HCT116_NT-GFP_TLP1c_1_MMStack_Pos7_MIP
02132025_Cen-ZF_select_HCT116_session2,1,0,5961.661344940322,5776.0,1529,2174530,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen20-ZF2b_1_MMStack_Pos5_MIP
02132025_Cen-ZF_select_HCT116_session2,1,1,790.9530322608193,675.0,414,2174530,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen20-ZF2b_1_MMStack_Pos5_MIP
02132025_Cen-ZF_select_HCT116_session2,2,0,5136.291228193662,4995.0,1903,2284933,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4c_1_MMStack_Pos2_MIP
02132025_Cen-ZF_select_HCT116_session2,2,1,1923.7481711380979,1142.0,331,2284933,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4c_1_MMStack_Pos2_MIP
02132025_Cen-ZF_select_HCT116_session2,3,0,4245.853697914691,3855.0,1269,2587332,02132025_Cen-ZF_select_HCT116_NT-GFP_CenX-ZF2b_1_MMStack_Pos6_MIP
02132025_Cen-ZF_select_HCT116_session2,3,1,635.215664929619,553.0,283,2587332,02132025_Cen-ZF_select_HCT116_NT-GFP_CenX-ZF2b_1_MMStack_Pos6_MIP
02132025_Cen-ZF_select_HCT116_session2,4,0,5090.808684159157,4823.0,1705,2469167,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen18-ZF1e_1_MMStack_Pos8_MIP
02132025_Cen-ZF_select_HCT116_session2,4,1,910.1554213976641,655.0,301,2469167,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen18-ZF1e_1_MMStack_Pos8_MIP
02132025_Cen-ZF_select_HCT116_session2,5,0,7198.422165497508,6883.0,2273,2430884,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen16-ZF1a_1_MMStack_Pos2_MIP
02132025_Cen-ZF_select_HCT116_session2,5,1,1338.2119408906897,876.0,393,2430884,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen16-ZF1a_1_MMStack_Pos2_MIP
02132025_Cen-ZF_select_HCT116_session2,6,0,4425.396950431522,4220.0,844,2523460,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen22-ZF1a_1_MMStack_Pos9_MIP
02132025_Cen-ZF_select_HCT116_session2,6,1,1209.9307006764566,822.0,303,2523460,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen22-ZF1a_1_MMStack_Pos9_MIP
02132025_Cen-ZF_select_HCT116_session2,7,0,4169.9487718299715,3960.0,1324,2518295,02132025_Cen-ZF_select_HCT116_NT-GFP_CenX-ZF1c_1_MMStack_Pos6_MIP
02132025_Cen-ZF_select_HCT116_session2,7,1,870.0039201440076,605.0,303,2518295,02132025_Cen-ZF_select_HCT116_NT-GFP_CenX-ZF1c_1_MMStack_Pos6_MIP
02132025_Cen-ZF_select_HCT116_session2,8,0,4628.4856182633575,4446.0,1401,2301221,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,8,1,746.3801672901546,572.0,316,2301221,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,9,0,3947.768030130732,3773.0,1422,2342677,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos10_MIP
02132025_Cen-ZF_select_HCT116_session2,9,1,1169.3242076147644,724.0,367,2342677,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos10_MIP
02132025_Cen-ZF_select_HCT116_session2,10,0,6541.492232937369,6491.0,1950,2146210,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen19-ZF1c_1_MMStack_Pos9_MIP
02132025_Cen-ZF_select_HCT116_session2,10,1,688.2068247243254,621.0,333,2146210,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen19-ZF1c_1_MMStack_Pos9_MIP
02132025_Cen-ZF_select_HCT116_session2,11,0,4570.865969906858,4258.0,1420,2437306,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos9_MIP
02132025_Cen-ZF_select_HCT116_session2,11,1,1946.254580871976,1260.0,418,2437306,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos9_MIP
02132025_Cen-ZF_select_HCT116_session2,12,0,4220.7334383601365,4026.0,1358,2436906,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1c_1_MMStack_Pos6_MIP
02132025_Cen-ZF_select_HCT116_session2,12,1,1851.2739946955442,878.0,404,2436906,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1c_1_MMStack_Pos6_MIP
02132025_Cen-ZF_select_HCT116_session2,13,0,5409.327617808429,5235.0,1572,2482473,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen18-ZF1d_1_MMStack_Pos3_MIP
02132025_Cen-ZF_select_HCT116_session2,13,1,1005.5012677145688,693.0,398,2482473,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen18-ZF1d_1_MMStack_Pos3_MIP
02132025_Cen-ZF_select_HCT116_session2,14,0,3835.8048301552158,3566.0,730,2721055,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen13-ZF2b_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,14,1,1473.763155553366,895.0,353,2721055,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen13-ZF2b_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,15,0,4689.103978165383,4551.0,1766,2044106,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos10_MIP
02132025_Cen-ZF_select_HCT116_session2,15,1,932.8694735060415,636.0,290,2044106,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos10_MIP
02132025_Cen-ZF_select_HCT116_session2,16,0,5713.87658518471,5521.0,1873,1974758,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4a_1_MMStack_Pos8_MIP
