experiment,base_name,ROI,channel,x,y,intensity,probability,plasmid,median,maxima,sbr,rel_intensity,rel_sbr,real_spot
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,128,2,568,1967,37437.94,0.603,NT-GFP_Cen21-ZF1b,21544.0,44130,1.7377432231711847,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,128,2,585,1964,28391.65,0.488,NT-GFP_Cen21-ZF1b,21544.0,44130,1.3178448756034162,0.7583657113612554,0.7583657113612554,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,126,2,212,1963,945.8199999999999,0.498,NT-GFP_Cen21-ZF1b,388.0,1011,2.437680412371134,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,123,2,1684,1934,10066.31,0.499,NT-GFP_Cen21-ZF1b,3715.0,10316,2.7096393001345893,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,122,2,1897,1864,1580.0,0.465,NT-GFP_Cen21-ZF1b,823.0,1599,1.919805589307412,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,114,2,571,1737,894.0,0.412,NT-GFP_Cen21-ZF1b,652.0,2302,1.3711656441717792,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,110,2,1756,1719,3312.93,0.477,NT-GFP_Cen21-ZF1b,1667.0,3324,1.987360527894421,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,110,2,1752,1677,3128.0,0.46,NT-GFP_Cen21-ZF1b,1667.0,3324,1.8764247150569886,0.9441793216276831,0.944179321627683,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,110,2,1813,1669,2964.0,0.372,NT-GFP_Cen21-ZF1b,1667.0,3324,1.7780443911217756,0.8946763137162572,0.8946763137162572,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,109,2,776,1650,16536.21,0.492,NT-GFP_Cen21-ZF1b,6476.0,16654,2.553460469425571,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,101,2,1191,1589,3272.15,0.521,NT-GFP_Cen21-ZF1b,1936.0,4942,1.6901601239669422,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,97,2,467,1571,745.0,0.351,NT-GFP_Cen21-ZF1b,371.0,748,2.0080862533692723,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,99,2,1312,1526,2614.18,0.471,NT-GFP_Cen21-ZF1b,1253.0,2757,2.08633679169992,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,102,2,46,1516,3794.38,0.489,NT-GFP_Cen21-ZF1b,2186.0,4293,1.7357639524245196,0.892862521413377,0.892862521413377,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,102,2,21,1518,4249.68,0.549,NT-GFP_Cen21-ZF1b,2186.0,4293,1.9440439158279965,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,95,2,92,1469,8342.26,0.513,NT-GFP_Cen21-ZF1b,4966.0,8649,1.6798751510269836,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,95,2,100,1404,7679.03,0.526,NT-GFP_Cen21-ZF1b,4966.0,8649,1.5463209826822393,0.9204975630105031,0.9204975630105031,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,87,2,990,1371,4361.0,0.407,NT-GFP_Cen21-ZF1b,2965.0,6174,1.4708263069139966,0.7296009529481835,0.7296009529481835,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,87,2,1089,1347,4853.0,0.401,NT-GFP_Cen21-ZF1b,2965.0,6174,1.636762225969646,0.8119131907034016,0.8119131907034017,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,87,2,1012,1347,5977.24,0.537,NT-GFP_Cen21-ZF1b,2965.0,6174,2.0159325463743674,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,73,2,1623,1098,4690.16,0.497,NT-GFP_Cen21-ZF1b,2340.0,4753,2.0043418803418804,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,68,2,1482,1077,4405.3,0.534,NT-GFP_Cen21-ZF1b,2859.0,5468,1.5408534452605807,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,63,2,514,1046,1416.88,0.461,NT-GFP_Cen21-ZF1b,677.0,1602,2.09288035450517,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,63,2,526,1017,1202.0,0.45,NT-GFP_Cen21-ZF1b,677.0,1602,1.775480059084195,0.8483428377844277,0.8483428377844277,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,64,2,1249,1031,7716.26,0.513,NT-GFP_Cen21-ZF1b,3339.0,7809,2.310949386043726,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,64,2,1220,1021,6110.0,0.351,NT-GFP_Cen21-ZF1b,3339.0,7809,1.8298891883797543,0.7918343860885974,0.7918343860885972,Yes
