experiment,base_name,ROI,channel,x,y,intensity,probability,plasmid
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,128,2,568,1967,37787.94,0.603,NT-GFP_Cen21-ZF1b
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,128,2,585,1964,28741.65,0.488,NT-GFP_Cen21-ZF1b
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,126,2,212,1963,1295.82,0.498,NT-GFP_Cen21-ZF1b
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,123,2,1684,1934,10416.31,0.499,NT-GFP_Cen21-ZF1b
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,122,2,1897,1864,1930.0,0.465,NT-GFP_Cen21-ZF1b
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,114,2,571,1737,1244.0,0.412,NT-GFP_Cen21-ZF1b
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,110,2,1756,1719,3662.93,0.477,NT-GFP_Cen21-ZF1b
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,110,2,1752,1677,3478.0,0.46,NT-GFP_Cen21-ZF1b
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,110,2,1813,1669,3314.0,0.372,NT-GFP_Cen21-ZF1b
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,109,2,776,1650,16886.21,0.492,NT-GFP_Cen21-ZF1b
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,101,2,1191,1589,3622.15,0.521,NT-GFP_Cen21-ZF1b
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,97,2,467,1571,1095.0,0.351,NT-GFP_Cen21-ZF1b
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,99,2,1312,1526,2964.18,0.471,NT-GFP_Cen21-ZF1b
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,102,2,46,1516,4144.38,0.489,NT-GFP_Cen21-ZF1b
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,102,2,21,1518,4599.68,0.549,NT-GFP_Cen21-ZF1b
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,95,2,92,1469,8692.26,0.513,NT-GFP_Cen21-ZF1b
