experiment,base_name,ROI,channel,spot_count,plasmid
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,1,2,1,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,2,2,3,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,3,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,4,2,3,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,5,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,6,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,7,2,3,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,8,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,9,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,10,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,11,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,12,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,13,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,14,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,15,2,3,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,16,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,17,2,3,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,18,2,6,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,19,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,20,2,1,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,21,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,22,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,23,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,24,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,25,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,26,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,27,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,28,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,29,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,30,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,31,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,32,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,33,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,34,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,35,2,6,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,36,2,4,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,37,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,38,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,39,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,40,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,41,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,42,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,43,2,3,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,44,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,45,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,46,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,47,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,48,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,49,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen7-ZF1g_1_MMStack_Pos-3-002_002_MIP,50,2,2,NT-GFP_Cen7-ZF1g
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,1,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,2,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,3,2,0,NT-GFP_Cen6-ZF1c
