y,x,intensity,probability,cell_ID,nuc_ID,base_name,image_index,channel,experiment,group,cell_density,strain,bg_area,bg_min,bg_median,bg_max,intensity_bs
1528.9034,693.8904,318.33,0.415,65,0,08262025_Taka_pombe-live_5X_control_1_MMStack_Pos6_MIP,0,1,08262025_Taka_pombe-live,control,5X,yTAS1253,3313568,192.0,252.0,850.0,126.32999999999998
1449.0,1422.0,772.0,0.374,57,61,08262025_Taka_pombe-live_5X_control_1_MMStack_Pos6_MIP,0,1,08262025_Taka_pombe-live,control,5X,yTAS1253,3313568,192.0,252.0,850.0,580.0
1447.9109,1424.7778,707.93,0.51,57,61,08262025_Taka_pombe-live_5X_control_1_MMStack_Pos6_MIP,0,1,08262025_Taka_pombe-live,control,5X,yTAS1253,3313568,192.0,252.0,850.0,515.93
1170.0816,1652.6187,382.59,0.477,46,0,08262025_Taka_pombe-live_5X_control_1_MMStack_Pos6_MIP,0,1,08262025_Taka_pombe-live,control,5X,yTAS1253,3313568,192.0,252.0,850.0,190.58999999999997
269.8575,1740.6866,1777.69,0.72,20,18,08262025_Taka_pombe-live_5X_control_1_MMStack_Pos6_MIP,0,1,08262025_Taka_pombe-live,control,5X,yTAS1253,3313568,192.0,252.0,850.0,1585.69
168.1957,1805.1462,567.72,0.538,16,13,08262025_Taka_pombe-live_5X_control_1_MMStack_Pos6_MIP,0,1,08262025_Taka_pombe-live,control,5X,yTAS1253,3313568,192.0,252.0,850.0,375.72
1830.0261,1833.2621,409.71,0.447,77,81,08262025_Taka_pombe-live_5X_control_1_MMStack_Pos6_MIP,0,2,08262025_Taka_pombe-live,control,5X,yTAS1253,3313568,138.0,182.0,677.0,271.71
1442.0,1277.0,365.0,0.328,59,62,08262025_Taka_pombe-live_5X_control_1_MMStack_Pos6_MIP,0,2,08262025_Taka_pombe-live,control,5X,yTAS1253,3313568,138.0,182.0,677.0,227.0
755.0,1138.0,288.0,0.367,37,35,08262025_Taka_pombe-live_5X_control_1_MMStack_Pos6_MIP,0,2,08262025_Taka_pombe-live,control,5X,yTAS1253,3313568,138.0,182.0,677.0,150.0
480.0,262.0,402.0,0.391,28,26,08262025_Taka_pombe-live_5X_control_1_MMStack_Pos6_MIP,0,2,08262025_Taka_pombe-live,control,5X,yTAS1253,3313568,138.0,182.0,677.0,264.0
1858.0,98.0,495.0,0.423,75,93,08262025_Taka_pombe-live_5X_ecDNA_1_MMStack_Pos7_MIP,1,1,08262025_Taka_pombe-live,ecDNA,5X,yTAS1201,3203077,183.0,255.0,1530.0,312.0
1856.0,96.0,493.0,0.443,75,93,08262025_Taka_pombe-live_5X_ecDNA_1_MMStack_Pos7_MIP,1,1,08262025_Taka_pombe-live,ecDNA,5X,yTAS1201,3203077,183.0,255.0,1530.0,310.0
