experiment,base_name,image_index,cell_ID,n_nuclei
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,1,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,2,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,3,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,5,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,6,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,7,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,8,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,9,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,10,2
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,11,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,12,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,13,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,14,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,16,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,17,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,18,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,19,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,20,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,22,1
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,23,1
