experiment,base_name,image_index,nuc_ID,cell_ID,assigned,channel,n_spots_nuclear,n_spots_cyto,n_spots_total,group,cell_density,strain
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,8,1,True,1,0,0,0,control,4X,yTAS1253
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,8,1,True,2,0,0,0,control,4X,yTAS1253
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,3,2,True,1,0,0,0,control,4X,yTAS1253
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,3,2,True,2,0,0,0,control,4X,yTAS1253
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,4,3,True,1,0,0,0,control,4X,yTAS1253
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,4,3,True,2,0,0,0,control,4X,yTAS1253
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,5,5,True,1,0,0,0,control,4X,yTAS1253
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,5,5,True,2,0,0,0,control,4X,yTAS1253
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,1,6,True,1,0,0,0,control,4X,yTAS1253
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,1,6,True,2,0,0,0,control,4X,yTAS1253
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,13,7,True,1,0,0,0,control,4X,yTAS1253
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,13,7,True,2,0,0,0,control,4X,yTAS1253
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,7,8,True,1,0,0,0,control,4X,yTAS1253
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,7,8,True,2,0,0,0,control,4X,yTAS1253
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,11,9,True,1,0,0,0,control,4X,yTAS1253
10242025_Taka_pombe-live,10242025_Taka_pombe_4X_control_1_MMStack_Pos0_MIP,13,11,9,True,2,0,0,0,control,4X,yTAS1253
