filename,plasmid,experiment,ROI_index,cor_ch1_log10_median,tx_status_thr,tx_status_gmm
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,1,2.506059545682834,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,2,2.4603425121330855,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,3,2.5489417689601734,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,4,2.4931601609349294,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,5,2.5366276514631823,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,6,2.5171872119076006,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,7,2.5552079905491922,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,8,3.5266970394215926,Y,Y
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,9,2.46040821933466,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,10,2.495783625224292,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,11,2.4582871169461304,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,12,3.261699447664079,Y,Y
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,13,2.5517248234924015,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,14,2.470507260388658,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,15,2.499267585166162,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,16,2.5181685281030357,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,17,3.0885418004621554,Y,Y
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,18,2.5795685679237987,Y,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,19,2.5241896104312516,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,20,2.4807297630853586,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,21,2.453728439651731,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,22,2.4797682029745842,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,23,2.4252927648644245,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,24,2.6138042748573804,Y,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,25,2.44204577583028,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,26,2.5766049421491726,Y,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,27,3.168882757673845,Y,Y
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,28,2.5010052605809396,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,29,2.6804742321530526,Y,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,30,2.579010430948629,Y,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,31,2.984636664147591,Y,Y
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,32,2.6323261416271335,Y,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,33,2.4928285154383394,N,N
09042024_Cen-ZF_NT-GFP_Cen6-ZF2b_1_MMStack_Pos0_MIP,NT-GFP_Cen6-ZF2b,09042024_Cen-ZF_set3_session1,1,2.532682568085274,N,N
