experiment,base_name,ROI,channel,spot_count,plasmid,tx_status_thr,tx_status_gmm,ch1_log10_median
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,1,2,0,NT-GFP_Cen4-ZF1c,Y,N,2.583198773968623
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,2,2,0,NT-GFP_Cen4-ZF1c,Y,N,2.583198773968623
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,3,2,0,NT-GFP_Cen4-ZF1c,Y,Y,2.848189116991399
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,4,2,0,NT-GFP_Cen4-ZF1c,Y,N,2.5646660642520893
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,5,2,0,NT-GFP_Cen4-ZF1c,Y,Y,3.273464272621346
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,6,2,0,NT-GFP_Cen4-ZF1c,Y,Y,3.0261245167454502
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,7,2,0,NT-GFP_Cen4-ZF1c,Y,Y,2.9813655090785445
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,8,2,0,NT-GFP_Cen4-ZF1c,Y,Y,3.1528995963937474
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,9,2,0,NT-GFP_Cen4-ZF1c,Y,Y,3.0629578340845103
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,10,2,0,NT-GFP_Cen4-ZF1c,Y,Y,2.9689496809813427
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,11,2,0,NT-GFP_Cen4-ZF1c,Y,Y,3.077731179652392
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,12,2,0,NT-GFP_Cen4-ZF1c,Y,Y,3.0342272607705505
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,13,2,0,NT-GFP_Cen4-ZF1c,Y,Y,4.816479930623699
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,14,2,0,NT-GFP_Cen4-ZF1c,Y,Y,3.219846386024361
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,15,2,0,NT-GFP_Cen4-ZF1c,Y,Y,3.167317334748176
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,16,2,0,NT-GFP_Cen4-ZF1c,Y,Y,2.869231719730976
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,17,2,0,NT-GFP_Cen4-ZF1c,N,N,2.658964842664435
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,18,2,0,NT-GFP_Cen4-ZF1c,Y,Y,3.606381365110605
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,19,2,0,NT-GFP_Cen4-ZF1c,Y,Y,3.9735434685324895
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,20,2,0,NT-GFP_Cen4-ZF1c,Y,N,2.7442929831226763
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,21,2,0,NT-GFP_Cen4-ZF1c,Y,Y,2.8494194137968996
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen4-ZF1c_1_MMStack_Pos2_MIP,22,2,0,NT-GFP_Cen4-ZF1c,Y,N,2.7795964912578244
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen6-ZF1b_1_MMStack_Pos6_MIP,1,2,0,NT-GFP_Cen6-ZF1b,Y,N,2.5289167002776547
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen6-ZF1b_1_MMStack_Pos6_MIP,2,2,0,NT-GFP_Cen6-ZF1b,Y,N,2.5877109650189114
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen6-ZF1b_1_MMStack_Pos6_MIP,3,2,0,NT-GFP_Cen6-ZF1b,N,N,2.481442628502305
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen6-ZF1b_1_MMStack_Pos6_MIP,4,2,6,NT-GFP_Cen6-ZF1b,Y,Y,3.49982449583958
09042024_Cen-ZF_set3_session1,09042024_Cen-ZF_NT-GFP_Cen6-ZF1b_1_MMStack_Pos6_MIP,5,2,2,NT-GFP_Cen6-ZF1b,Y,Y,3.074816440645175
