filename,plasmid,experiment,ROI_index,ch1_log10_median,tx_status_thr,tx_status_gmm
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,1,2.4533183400470375,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,2,2.3783979009481375,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,3,2.4742162640762553,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,4,2.4424797690644486,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,5,2.5211380837040362,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,6,2.4800069429571505,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,7,2.5327543789924976,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,8,3.5503506723016156,Y,Y
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,9,2.4216039268698313,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,10,2.496929648073215,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,11,2.3944516808262164,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,12,3.244771761495295,Y,Y
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,13,2.5327543789924976,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,14,2.45484486000851,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,15,2.496929648073215,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,16,2.4742162640762553,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,17,3.13956426617585,Y,Y
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,18,2.568201724066995,Y,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,19,2.5224442335063197,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,20,2.437750562820388,N,N
09042024_Cen-ZF_NT-GFP_Cen3-ZF1b_1_MMStack_Pos2_MIP,NT-GFP_Cen3-ZF1b,09042024_Cen-ZF_set3_session1,21,2.484299839346786,N,N
