experiment,base_name,ROI,channel,x,y,intensity,probability
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,66,2,1797,2039,14207.72,0.614
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,66,2,1782,2037,10774.74,0.584
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,65,2,492,2018,4667.27,0.488
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,65,2,484,2016,5236.0,0.46
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,65,2,480,2013,6745.61,0.519
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,66,2,1807,2007,1139.0,0.364
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,65,2,504,1986,7089.91,0.545
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,61,2,715,1889,2578.14,0.495
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,61,2,765,1879,3103.0,0.398
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,61,2,770,1863,26176.46,0.691
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,61,2,757,1860,41178.35,0.664
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,60,2,1694,1835,43477.67,0.532
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,60,2,1704,1808,3173.54,0.501
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,58,2,1443,1804,35689.1,0.592
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,59,2,1198,1801,21444.44,0.643
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,58,2,1467,1800,3242.92,0.49
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,58,2,1461,1794,3468.0,0.466
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,60,2,1658,1790,33242.14,0.698
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,59,2,1244,1786,1711.0,0.451
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,58,2,1478,1781,2290.0,0.459
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,59,2,1226,1779,3691.8,0.49
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,59,2,1213,1777,2624.0,0.491
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,59,2,1238,1772,14250.89,0.61
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,58,2,1469,1752,22652.94,0.624
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,56,2,451,1753,23594.51,0.589
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,56,2,445,1746,17488.62,0.555
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,54,2,1140,1729,16925.48,0.585
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,54,2,1110,1716,29230.45,0.77
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,51,2,219,1694,1536.41,0.461
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,51,2,250,1684,1451.0,0.472
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,51,2,234,1674,1671.0,0.49
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,51,2,220,1670,1961.0,0.373
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,52,2,908,1662,8721.11,0.531
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,53,2,894,1662,1997.0,0.397
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,52,2,912,1657,7271.0,0.45
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,52,2,919,1655,20823.61,0.631
