experiment,base_name,ROI,channel,spot_count
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,1,2,1
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,2,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,3,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,4,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,5,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,6,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,7,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,8,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,9,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,10,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,11,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,12,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,13,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,14,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,15,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,16,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,17,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,18,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,19,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,20,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,21,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,22,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,23,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,24,2,4
